source,detail_url,title_text,address_text,description,omv_nummer,decision_status,decision_date,public_inquiry_start,public_inquiry_end,demolition_keywords,demolition_candidate
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/31422752-12c2-44c4-889a-3fbe0fc13e92,"Charlotta Finckstraat 2 te 2660 Hoboken (Antwerpen) - verbouwen van een gemengd gebouw naar 3 woonentiteiten en een gelijkvloerse dareca, na gedeeltelijke sloop van het gebouw (OMV_2026026302) - GOEDGEKEURD",Charlotta Finckstraat 2 te 2660 Hoboken (Antwerpen),"verbouwen van een gemengd gebouw naar 3 woonentiteiten en een gelijkvloerse dareca, na gedeeltelijke sloop van het gebouw (",OMV_2026026302,GOEDGEKEURD,26/06/2026,,,sloop,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/c8efee48-a9fc-4c8d-b69e-665e850ba47a,Scheldelaan zonder nummer te 2040 Antwerpen - slopen van 20 technische gebouwen en bouwen van twee relaisgebouwen; een wijziging door het vervangen van een noodgenerator en diverse transformatoren en een uitbreiding met warmtepompen (OMV_2025130095) - GOEDGEKEURD,Scheldelaan zonder nummer te 2040 Antwerpen,slopen van 20 technische gebouwen en bouwen van twee relaisgebouwen; een wijziging door het vervangen van een noodgenerator en diverse transformatoren en een uitbreiding met warmtepompen (,OMV_2025130095,GOEDGEKEURD,23/06/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cb60f2cf-b853-467e-b4c5-773329c04977,"Verlatstraat 6-8 te 2000 Antwerpen - slopen van de bestaande constructie met uitzondering van een deel van de voorgevel en 1 scheidingsmuur, en het bouwen van een meergezinswoning met 2 wooneenheden en een gelijkvloerse functie detailhandel (OMV_2026008170) - GOEDGEKEURD",Verlatstraat 6-8 te 2000 Antwerpen,"slopen van de bestaande constructie met uitzondering van een deel van de voorgevel en 1 scheidingsmuur, en het bouwen van een meergezinswoning met 2 wooneenheden en een gelijkvloerse functie detailhandel (",OMV_2026008170,GOEDGEKEURD,19/06/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/39e67db2-42a6-45e4-831b-e49cb1f8c0d9,"Groenplaats 44, Nationalestraat 5-5B te 2000 Antwerpen - slopen van een schoolgebouw en de nieuwbouw van een gemengd gebouw met 99 wooneenheden, 6 handelsunits en 1 reca-unit; exploiteren van warmtepompen, lozen van huishoudelijk afvalwater en een bemaling met bijstelling lozingsvoorwaarde (OMV_2025131517) - GOEDGEKEURD","Groenplaats 44, Nationalestraat 5-5B te 2000 Antwerpen","slopen van een schoolgebouw en de nieuwbouw van een gemengd gebouw met 99 wooneenheden, 6 handelsunits en 1 reca-unit; exploiteren van warmtepompen, lozen van huishoudelijk afvalwater en een bemaling met bijstelling lozingsvoorwaarde (",OMV_2025131517,GOEDGEKEURD,05/06/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/3ca10281-b1d9-4210-8238-24f564a3f563,Lichtenberglaan 36 2660 te Hoboken (Antwerpen) - verbouwen van een oprit (karrespoor) en slopen van een niet-vergunde garage (OMV_2026020110) - GOEDGEKEURD,Lichtenberglaan 36 2660 te Hoboken (Antwerpen),verbouwen van een oprit (karrespoor) en slopen van een niet-vergunde garage (,OMV_2026020110,GOEDGEKEURD,05/06/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/92989881-7a14-47b2-bf8d-4924ca50512d,Lange Scholiersstraat 71 te 2060 Antwerpen - verbouwen en uitbreiden van een eengezinswoning na het slopen van een deel van het bouwvolume (OMV_2026019240) - GOEDGEKEURD,Lange Scholiersstraat 71 te 2060 Antwerpen,verbouwen en uitbreiden van een eengezinswoning na het slopen van een deel van het bouwvolume (,OMV_2026019240,GOEDGEKEURD,05/06/2026,,,na het slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/483011e1-0b0e-494c-8012-63d40b555121,"Louisalei 48 te 2660 Hoboken (Antwerpen) - doorvoeren van wijzigingen zonder vergunning, slopen van een fietsberging en isoleren van een blinde zijgevel van een eengezinswoning (OMV_2026009494) - GOEDGEKEURD",Louisalei 48 te 2660 Hoboken (Antwerpen),"doorvoeren van wijzigingen zonder vergunning, slopen van een fietsberging en isoleren van een blinde zijgevel van een eengezinswoning (",OMV_2026009494,GOEDGEKEURD,29/05/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen) - slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (OMV_2026028826) - GOEDGEKEURD,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cd2149ff-026e-4ce0-acce-d69c7bd0b4b5,"Transcontinentaalweg 6 te 2030 Antwerpen. - Slopen van twee silobatterijen, bouwen van twee hoogspanningscabines en aanleg verhardingen; Op- en overslagbedrijf: verandering. (OMV_2025131558) - GOEDGEKEURD",Transcontinentaalweg 6 te 2030 Antwerpen.,"Slopen van twee silobatterijen, bouwen van twee hoogspanningscabines en aanleg verhardingen; Op- en overslagbedrijf: verandering. (",OMV_2025131558,GOEDGEKEURD,28/05/2026,,,slopen,yes
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/323b407e-c236-4c1e-a1a7-38f55b902625,"Dennenlaan 15A te 2020 Antwerpen, Dennenlaan 15-15A te 2020 Antwerpen en Dennenlaan 15A te 2020 Antwerpen - slopen en nieuwbouw van een eengezinswoning en exploiteren van geothermische warmtepompen en een bemaling (OMV_2026010426) - GOEDGEKEURD","Dennenlaan 15A te 2020 Antwerpen, Dennenlaan 15-15A te 2020 Antwerpen en Dennenlaan 15A te 2020 Antwerpen",slopen en nieuwbouw van een eengezinswoning en exploiteren van geothermische warmtepompen en een bemaling (,OMV_2026010426,GOEDGEKEURD,22/05/2026,,,slopen,yes
